"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1979",12.95721,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1980",12.51039,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1981",11.39698,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1982",13.82591,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1983",18.2828,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1984",16.74632,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1985",15.13232,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1986",15.02553,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1987",14.91051,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1988",13.38384,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1989",11.1353,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1990",13.00438,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1991",17.46578,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1992",19.26581,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1993",18.51517,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1994",16.85291,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1995",15.1851,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1996",15.62621,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1997",15.82701,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1998",14.45181,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1999",13.10488,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",12.07916,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2001",13.47604,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2002",12.7856,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",11.9516,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",11.35999,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",10.60987,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",10.02015,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",9.357293,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",8.804145,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",11.45492,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",11.54109,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",11.35995,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",11.71778,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",12.20982,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",13.31329,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",13.12784,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",12.66573,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1999",4.975,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",5.15,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2001",5.7,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2002",6.175,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",7.05,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",10.5,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",10.975,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",9.8,"B"
